Season,Country,Winners,Score,Runners-up,SW,SR,SW-SR,Country,Venue,Attendance,extra_time
1955,Spain,Real Madrid,4–3,Reims,4,3,1,France,"Parc des Princes, Paris, France",38239,Normal
1956,Spain,Real Madrid,2–0,Fiorentina,2,0,2,Italy,"Santiago Bernabéu, Madrid, Spain",124000,Normal
1957,Spain,Real Madrid,3–2,AC Milan,3,2,1,Italy,"Heysel Stadium, Brussels, Belgium",67000,Prolongamento
1958,Spain,Real Madrid,2–0,Reims,2,0,2,France,"Neckarstadion, Stuttgart, Germany",72000,Normal
1959,Spain,Real Madrid,7–3,Eintracht Frankfurt,7,3,4,Germany,"Hampden Park, Glasgow, Scotland",127621,Normal
1960,Portugal,SL Benfica,3–2,FC Barcelona,3,2,1,Spain,"Wankdorf Stadium, Bern, Switzerland",26732,Normal
1961,Portugal,SL Benfica,5–3,Real Madrid,5,3,2,Spain,"Olympisch Stadion, Amsterdam, Netherlands",61257,Normal
1962,Italy,AC Milan,2–1,SL Benfica,2,1,1,Portugal,"Wembley Stadium, London, England",45715,Normal
1963,Italy,Inter Milan,3–1,Real Madrid,3,1,2,Spain,"Praterstadion, Vienna, Austria",71333,Normal
1964,Italy,Inter Milan,1–0,SL Benfica,1,0,1,Portugal,"San Siro, Milan, Italy",89000,Normal
1965,Spain,Real Madrid,2–1,Partizan,2,1,1,Yugoslavia,"Heysel Stadium, Brussels, Belgium",46745,Normal
1966,Scotland,Celtic FC,2–1,Inter Milan,2,1,1,Italy,"Estádio Nacional, Lisbon, Portugal",45000,Normal
1967,England,Manchester United,4–1,SL Benfica,4,1,3,Portugal,"Wembley Stadium, London, England",92225,Prolongamento
1968,Italy,AC Milan,4–1,AFC Ajax,4,1,3,Netherlands,"Santiago Bernabéu, Madrid, Spain",31782,Normal
1969,Netherlands,Feyenoord,2–1,Celtic FC,2,1,1,Scotland,"San Siro, Milan, Italy",53187,Prolongamento
1970,Netherlands,AFC Ajax,2–0,Panathinaikos,2,0,2,Greece,"Wembley Stadium, London, England",83179,Normal
1971,Netherlands,AFC Ajax,2–0,Inter Milan,2,0,2,Italy,"De Kuip, Rotterdam, Netherlands",61354,Normal
1972,Netherlands,AFC Ajax,1–0,Juventus,1,0,1,Italy,"Red Star Stadium, Belgrade, SFR Yugoslavia",89484,Normal
1973,Germany,Bayern Munich,1–1,Atlético Madrid,1,1,0,Spain,"Heysel Stadium, Brussels, Belgium",48722,Prolongamento
1973,Germany,Bayern Munich,4–0,Atlético Madrid,4,0,4,Spain,"Heysel Stadium, Brussels, Belgium",23325,Prolongamento
1974,Germany,Bayern Munich,2–0,Leeds United,2,0,2,England,"Parc des Princes, Paris, France",48374,Normal
1975,Germany,Bayern Munich,1–0,Saint-Étienne,1,0,1,France,"Hampden Park, Glasgow, Scotland",54864,Normal
1976,England,Liverpool FC,3–1,Borussia Mönchengladbach,3,1,2,Germany,"Stadio Olimpico, Rome, Italy",57000,Normal
1977,England,Liverpool FC,1–0,Club Brugge,1,0,1,Belgium,"Wembley Stadium, London, England",92500,Normal
